name	type	ra_hours	dec_deg	mag	common_name	aliases
NGC4274	G	12.330719	29.61447	10.4		
IC5267	G	22.953769	-43.39614	10.4		
NGC2015	*Ass	5.535136	-69.24303	10.4		
NGC2122	Cl+N	5.814586	-70.07008	10.4		
NGC0045	G	0.234442	-23.18208	10.4		
NGC1873	Cl+N	5.232131	-67.33436	10.4		
NGC1326	G	3.399000	-36.46467	10.4		
IC2574	G	10.473189	68.41214	10.5	Coddington's Nebula	
NGC4596	G	12.665542	10.17614	10.5		
NGC5101	G	13.362844	-27.43053	10.5		
NGC7006	GCl	21.024792	16.18753	10.5		
NGC1947	G	5.446558	-63.76003	10.5		
NGC4656 NED01	G	12.732686	32.17025	10.5		
NGC7217	G	22.131219	31.35933	10.5		
NGC4517	G	12.545997	0.11503	10.5		NGC 4437
NGC4536	G	12.574181	2.18814	10.5		
NGC4754	G	12.871528	11.31389	10.5		
NGC7492	GCl	23.140744	-15.61147	10.5		
NGC3726	G	11.555867	47.02919	10.5		
NGC4654	G	12.732383	13.12667	10.5		
NGC5084	G	13.338033	-21.82758	10.5		
NGC5206	G	13.562217	-48.15117	10.5		
IC2165	PN	6.361861	-12.98722	10.5		
IC2206	*	7.763997	-34.33017	10.5		
IC4997	PN	20.335778	16.73167	10.5		
NGC0419	GCl	1.138103	-72.88350	10.5		
NGC1782	OCl	4.964192	-69.39219	10.5		
NGC1934	Cl+N	5.363303	-67.93717	10.5		
NGC2262	OCl	6.660578	1.14364	10.5		
NGC2309	OCl	6.934336	-7.17431	10.5		
NGC4527	G	12.569006	2.65367	10.5		
NGC4664	G	12.751664	3.05578	10.5		NGC 4624,4665
NGC6684	G	18.816078	-65.17344	10.5		
NGC6790	PN	19.382472	1.51333	10.5		
NGC6891	PN	20.252456	12.70436	10.5		
IC4296	G	13.610842	-33.96583	10.5		
NGC2985	G	9.839508	72.27864	10.5		
NGC4030	G	12.006564	-1.10008	10.5		
NGC5566	G	14.338858	3.93375	10.5		
NGC1300	G	3.328078	-19.41136	10.5		
NGC5364	G	13.936667	5.01447	10.5		NGC 5317
NGC3412	G	10.848133	13.41214	10.5		
NGC5813	G	15.019786	1.70197	10.5		
IC1459	G	22.952947	-36.46222	10.5		IC 5265
NGC3109	G	10.051911	-26.15958	10.5		
NGC6221	G	16.879467	-59.21861	10.5		
NGC0404	G	1.157506	35.71814	10.6		
NGC3359	G	10.776906	63.22422	10.6		
NGC5746	G	14.748867	1.95500	10.6		
NGC7049	G	21.316750	-48.56217	10.6		
ESO097-013	G	14.219431	-65.33922	10.6	Circinus Galaxy	
IC4868	**	19.559278	-45.89269	10.6		
NGC2217	G	6.361050	-27.23375	10.6		
NGC3486	G	11.006631	28.97514	10.6		
NGC4096	G	12.100314	47.47844	10.6		
NGC4314	G	12.375506	29.89589	10.6		
NGC4457	G	12.483058	3.57058	10.6		
NGC4546	G	12.591531	-3.79319	10.6		
NGC1951	OCl	5.435228	-66.59725	10.6		
NGC2011	OCl	5.538947	-67.52314	10.6		
NGC2044	*Ass	5.601717	-69.19867	10.6		
NGC2663	G	8.752292	-33.79475	10.6		
NGC4958	G	13.096911	-8.02028	10.6		
NGC6868	G	20.165019	-48.37956	10.6		
IC0143	HII	1.569703	30.77642	10.6		
IC3568	PN	12.551883	82.56392	10.6		
IC4191	PN	13.146453	-67.64375	10.6		
NGC1055	G	2.695897	0.44317	10.6		
NGC1084	G	2.766642	-7.57847	10.6		
NGC1559	G	4.293269	-62.78367	10.6		
NGC1835	GCl	5.085161	-69.40386	10.6		
NGC4088	G	12.092831	50.53903	10.6		
NGC4442	G	12.467744	9.80372	10.6		
NGC6404	OCl	17.660378	-33.24672	10.6		
NGC6756	OCl	19.145158	4.70578	10.6		
NGC6857	HII	20.030036	33.52592	10.6		
NGC7814	G	0.054136	16.14542	10.6		
NGC1767	OCl	4.940917	-69.40056	10.6		
NGC1948	Cl+N	5.429511	-66.26681	10.6		
NGC3166	G	10.229333	3.42472	10.6		
NGC4105	G	12.111325	-29.76022	10.6		
NGC4856	G	12.989242	-15.04217	10.6		
NGC1302	G	3.330883	-26.06044	10.6		
NGC2442	G	7.606622	-69.53083	10.6		NGC 2443
NGC3608	G	11.283042	18.14869	10.6		
NGC3893	G	11.810608	48.71083	10.6		
NGC6384	G	17.540083	7.06028	10.6		
NGC2835	G	9.298031	-22.35467	10.6		
NGC2986	G	9.737789	-21.27800	10.6		
NGC5078	G	13.330550	-27.41039	10.6		
NGC7727	G	23.664922	-12.29278	10.6		
NGC1533	G	4.164400	-56.11844	10.7		
NGC3962	G	11.911139	-13.97503	10.7		
NGC4643	G	12.722261	1.97828	10.7		
NGC4698	G	12.806364	8.48739	10.7		
NGC6528	GCl	18.080447	-30.05578	10.7		
NGC1367	G	3.583706	-24.93322	10.7		NGC 1371
NGC3136	G	10.096711	-67.37797	10.7		
IC5152	G	22.044864	-51.29644	10.7		
NGC2336	G	7.451125	80.17808	10.7		
NGC5033	G	13.224297	36.59394	10.7		
NGC2146	G	6.310475	78.35703	10.7		
NGC6325	GCl	17.299797	-23.76603	10.7		
IC1297	PN	19.289833	-39.61306	10.7		
IC1470	HII	23.086169	60.24408	10.7		
IC4593	PN	16.195694	12.07139	10.7		
NGC1425	G	3.703186	-29.89333	10.7		
NGC1605	OCl	4.581189	45.27139	10.7		
NGC1978	GCl	5.479203	-66.23592	10.7		
NGC2136	GCl	5.882708	-69.49275	10.7		
NGC3211	PN	10.297364	-62.67006	10.7		
NGC3718	G	11.543014	53.06792	10.7		
NGC6005	OCl	15.930194	-57.43739	10.7		
NGC6644	PN	18.542981	-25.12936	10.7		
NGC7008	PN	21.009111	54.54319	10.7		
NGC3079	G	10.032722	55.67978	10.7		
NGC4710	G	12.827453	15.16544	10.7		
NGC4936	G	13.071358	-30.52625	10.7		
NGC5005	G	13.182286	37.05919	10.7		
NGC6401	GCl	17.643592	-23.90878	10.7		
NGC1537	G	4.227975	-31.64542	10.7		
NGC3898	G	11.820936	56.08436	10.7		
NGC5946	GCl	15.591269	-50.65972	10.7		IC 4550
NGC2098	OCl	5.708619	-68.27317	10.7		
NGC4147	GCl	12.168381	18.54214	10.7		NGC 4153
NGC4589	G	12.623608	74.19192	10.7		
NGC1387	G	3.615850	-35.50664	10.8		
NGC3245	G	10.455108	28.50744	10.8		
NGC3810	G	11.682989	11.47114	10.8		
NGC3945	G	11.887147	60.67556	10.8		
NGC4666	G	12.752386	-0.46189	10.8		
UGC04305	G	8.318050	70.72003	10.8		
NGC1735	OCl	4.905461	-67.09956	10.8		
NGC1774	OCl	4.968578	-67.24233	10.8		
PGC000143	G	0.032822	-15.46092	10.8	Wolf-Lundmark-Melotte	
NGC0821	G	2.139206	10.99492	10.8		
NGC3610	G	11.307019	58.78628	10.8		
NGC4251	G	12.302292	28.17539	10.8		
NGC5266	G	13.717253	-48.16942	10.8		
NGC5419	G	14.060758	-33.97825	10.8		
IC2149	PN	5.939969	46.10478	10.8		
NGC4026	G	11.990331	50.96169	10.8		
NGC4618	G	12.692458	41.15078	10.8		IC 3667
NGC5044	G	13.256658	-16.38553	10.8		
NGC3904	G	11.820339	-29.27675	10.8		
NGC5054	G	13.282914	-16.63486	10.8		
IC4776	PN	18.764083	-33.34306	10.8		
NGC1527	G	4.140039	-47.89703	10.8		
NGC2259	OCl	6.639289	10.88361	10.8		
NGC2438	PN	7.697331	-14.73578	10.8		
NGC4568	G	12.609517	11.23889	10.8	Butterfly Galaxies	
NGC5120	OCl	13.427614	-63.45833	10.8		
NGC1201	G	3.068883	-26.06964	10.8		
NGC1967	OCl	5.445364	-69.10153	10.8		
NGC2566	G	8.312683	-25.49953	10.8		
NGC3613	G	11.310031	58.00000	10.8		
NGC4111	G	12.117536	43.06572	10.8		
NGC5838	G	15.090628	2.09933	10.8		
NGC2103	HII	5.694542	-71.33314	10.8		
NGC4651	G	12.728508	16.39339	10.8	Umbrella Galaxy	
NGC2031	GCl	5.561617	-70.98678	10.8		
NGC2083	Neb	5.666450	-69.73758	10.8		
NGC3665	G	11.412131	38.76286	10.8		
NGC4371	G	12.415397	11.70422	10.8		
NGC6876	G	20.305319	-70.85881	10.8		
M98	G	12.230081	14.90033	10.8		NGC4192
NGC2002	GCl	5.505750	-66.88500	10.8		
NGC4036	G	12.024097	61.89578	10.8		
NGC7689	G	23.554647	-54.09447	10.8		
NGC0278	G	0.867864	47.55050	10.8		
NGC1637	G	4.691161	-2.85797	10.8		
NGC5018	G	13.216953	-19.51819	10.8		
NGC2019	GCl	5.532406	-70.15958	10.9		
NGC2681	G	8.892428	51.31367	10.9		
NGC4565	G	12.605772	25.98767	10.9	Needle Galaxy	
IC3408	*	12.487719	11.87589	10.9		
NGC4350	G	12.399408	16.69342	10.9		
NGC4450	G	12.474897	17.08494	10.9		
NGC7090	G	21.608017	-54.55733	10.9		
NGC3690B	G	11.476008	58.56294	10.9		NGC 3690E
NGC1317	G	3.378969	-37.10369	10.9	Fornax B	NGC 1318
NGC1427	G	3.705394	-35.39256	10.9		
NGC2006	*Ass	5.522500	-66.96528	10.9		
NGC3338	G	10.702094	13.74700	10.9		
NGC2018	HII	5.523581	-71.06906	10.9		
NGC2078	EmN	5.660958	-69.74317	10.9		
NGC2974	G	9.709244	-3.69914	10.9		NGC 2652
NGC3169	G	10.237514	3.46608	10.9		
NGC3949	G	11.894922	47.85869	10.9		
NGC4267	G	12.329233	12.79828	10.9		
NGC5694	GCl	14.660142	-26.53833	10.9		
IC4634	PN	17.025997	-21.82597	10.9		
NGC0246	PN	0.784267	-11.87194	10.9		
NGC0376	OCl	1.064847	-72.82367	10.9		
NGC2192	OCl	6.254842	39.85522	10.9		
NGC4361	PN	12.408544	-18.78483	10.9		
NGC5576	G	14.351022	3.27100	10.9		
NGC6153	PN	16.525178	-40.25344	10.9		
NGC6884	PN	20.173250	46.46083	10.9		NGC 6766
NGC7026	PN	21.105133	47.85219	10.9		
ESO383-087	G	13.821528	-36.06344	10.9		
NGC0986	G	2.559542	-39.04506	10.9		
NGC1964	G	5.556044	-21.94578	10.9		
NGC3593	G	11.243611	12.81767	10.9		
NGC0672	G	1.798478	27.43278	10.9		
NGC1187	G	3.043775	-22.86717	10.9		
NGC1787	OCl	5.029003	-65.82331	10.9		
NGC2090	G	5.783858	-34.25061	10.9		
NGC3348	G	10.786111	72.83967	10.9		
NGC4373	G	12.421617	-39.75972	10.9		
NGC4438	G	12.462664	13.00883	10.9	Eyes	
NGC1783	GCl	4.985781	-65.98728	10.9		
NGC2214	OCl	6.215814	-68.26072	10.9		
NGC3887	G	11.784603	-16.85461	10.9		
NGC4179	G	12.214475	1.29969	10.9		
NGC4689	G	12.795989	13.76281	10.9		
IC2042	*	4.195350	-47.27008	10.9		
NGC1448	G	3.742200	-44.64483	10.9		NGC 1457
NGC2025	OCl	5.542678	-71.71550	10.9		
NGC2210	GCl	6.192044	-69.12139	10.9		
NGC2859	G	9.405147	34.51350	10.9		
NGC0596	G	1.547800	-7.03183	10.9		
M91	G	12.590681	14.49633	11.0		NGC4548
NGC1456	**	3.802292	22.55861	11.0		
NGC3223	G	10.359744	-34.26681	11.0		IC 2571
NGC4435	G	12.461247	13.07894	11.0	Eyes	
IC4329	G	13.818142	-30.29586	11.0		
NGC1600	G	4.527761	-5.08625	11.0		
NGC1772	OCl	4.947997	-69.55606	11.0		
NGC2027	OCl	5.583253	-66.91631	11.0		
NGC3705	G	11.502072	9.27664	11.0		
NGC4503	G	12.535064	11.17642	11.0		
NGC4845	G	12.966997	1.57583	11.0		NGC 4910
NGC7205	G	22.142858	-57.44258	11.0		
NGC3626	G	11.334392	18.35683	11.0		NGC 3632
NGC7457	G	23.016647	30.14494	11.0		
NGC1515	G	4.067422	-54.10006	11.0		
NGC2035	Neb	5.592000	-67.58417	11.0		
NGC4691	G	12.803786	-3.33272	11.0		
IC5148	PN	21.993111	-39.38583	11.0		IC 5150
NGC0609	OCl	1.606594	64.53658	11.0		
NGC3091	G	10.003969	-19.63697	11.0		
NGC3255	OCl	10.442044	-60.67519	11.0		
NGC3877	G	11.768806	47.49433	11.0		
NGC5850	G	15.118803	1.54425	11.0		
NGC5873	PN	15.214111	-38.12556	11.0		
NGC6563	PN	18.200694	-33.86833	11.0		
NGC6567	PN	18.229222	-19.07583	11.0		
NGC7144	G	21.878453	-48.25375	11.0		
NGC7184	G	22.044394	-20.81283	11.0		
NGC7606	G	23.317994	-8.48508	11.0		
NGC4984	G	13.149231	-15.51631	11.0		
NGC5474	G	14.083781	53.66222	11.0		
NGC7640	G	23.368494	40.84542	11.0		
NGC1087	G	2.773656	-0.49864	11.0		
NGC1379	G	3.601097	-35.44119	11.0		
NGC1834	OCl	5.086494	-69.20747	11.0		
NGC2009	OCl	5.516433	-69.18167	11.0		
NGC2640	G	8.623506	-55.12375	11.0		
NGC3193	G	10.306917	21.89397	11.0		
NGC3250	G	10.442300	-39.94394	11.0		
NGC3511	G	11.056603	-23.08678	11.0		
NGC4388	G	12.429653	12.66208	11.0		
NGC4461	G	12.484169	13.18375	11.0		NGC 4443
NGC5353	G	13.890747	40.28303	11.0		
NGC5557	G	14.307144	36.49356	11.0		
NGC5585	G	14.330056	56.72906	11.0		
NGC5921	G	15.365711	5.07053	11.0		
NGC1385	G	3.624681	-24.50031	11.0		
NGC2292	G	6.794347	-26.74625	11.0		
NGC2950	G	9.709764	58.85128	11.0		
NGC4242	G	12.291717	45.61931	11.0		
NGC4394	G	12.432092	18.21406	11.0		
NGC7582	G	23.306528	-42.37056	11.0		
NGC1052	G	2.684667	-8.25578	11.0		
NGC1860	OCl	5.177642	-68.75225	11.0		
NGC1872	GCl	5.219658	-69.31158	11.0		
NGC2293	G	6.795253	-26.75436	11.0		
NGC4469	G	12.491119	8.74992	11.0		
NGC6753	G	19.189900	-57.04956	11.0		
NGC6861	G	20.122078	-48.37022	11.0		IC 4949
NGC7418	G	22.943378	-37.03008	11.0		IC 1459
NGC1073	G	2.727922	1.37611	11.1		
NGC2855	G	9.357636	-11.90950	11.1		
NGC3189	G	10.301564	21.83231	11.1		NGC 3190
NGC6355	GCl	17.399625	-26.35342	11.1		
NGC7332	G	22.623483	23.79833	11.1		
ESO221-026	G	14.139947	-47.97047	11.1		
NGC1400	G	3.658567	-18.68808	11.1		
NGC2207	G	6.272786	-21.37267	11.1		
NGC4419	G	12.449011	15.04739	11.1		
NGC7619	G	23.337369	8.20625	11.1		
NGC0864	G	2.257678	6.00261	11.1		
NGC1986	GCl	5.460578	-69.97364	11.1		
NGC5982	G	15.644397	59.35583	11.1		
NGC4041	G	12.036722	62.13722	11.1		
NGC4608	G	12.687025	10.15567	11.1		
NGC4866	G	12.990872	14.17106	11.1		
IC2469	G	9.383628	-32.44975	11.1		
NGC0578	G	1.508081	-22.66736	11.1		
NGC3414	G	10.854503	27.97511	11.1		
NGC4100	G	12.102347	49.58269	11.1		
NGC7479	G	23.082403	12.32289	11.1		
IC2128	Cl+N	5.378936	-68.06108	11.1		
IC4662	G	17.785797	-64.64175	11.1		
NGC1487 NED01	G	3.929269	-42.36769	11.1		NGC 1487NW
NGC1711	GCl	4.843369	-69.98544	11.1		
NGC4136	G	12.154914	29.92761	11.1		
NGC4208	G	12.260933	13.90150	11.1		NGC 4212
NGC4709	G	12.834411	-41.38197	11.1		
NGC6603	OCl	18.307492	-18.40606	11.1		
NGC6905	PN	20.373053	20.10453	11.1	Blue Flash Nebula	
IC2163	G	6.274439	-21.37586	11.1		
IC5250A	G	22.788194	-65.05972	11.1		
NGC0253	G	0.792533	-25.28822	11.1	Sculptor Filament	
NGC1569	G	4.513628	64.84794	11.1		
NGC4261	G	12.323117	5.82522	11.1		
NGC4448	G	12.470953	28.62031	11.1		
NGC4570	G	12.614833	7.24664	11.1		
NGC4995	G	13.161292	-7.83342	11.1		
NGC6340	G	17.173569	72.30444	11.1		
NGC6643	G	18.329558	74.56836	11.1		
NGC0210	G	0.676394	-13.87281	11.1		
NGC2280	G	6.746975	-27.63861	11.1		
NGC2380	G	7.398542	-27.52906	11.1		NGC 2382
NGC4638	G	12.713172	11.44250	11.1		NGC 4667
NGC7145	G	21.888956	-47.88244	11.1		
NGC7626	G	23.345153	8.21697	11.1		
NGC5087	G	13.340267	-20.61100	11.1		
NGC5483	G	14.173619	-43.32461	11.1		
NGC7177	G	22.011456	17.73806	11.1		
NGC1374	G	3.587942	-35.22625	11.1		
NGC1596	G	4.460586	-55.02781	11.1		
NGC1913	OCl	5.305358	-69.53647	11.1		
NGC2549	G	8.316208	57.80306	11.1		
NGC4062	G	12.067731	31.89581	11.2		
NGC4340	G	12.393136	16.72236	11.2		
NGC7213	G	22.154531	-47.16661	11.2		
NGC1700	G	4.948975	-4.86578	11.2		
NGC2300	G	7.538881	85.70950	11.2		
NGC3078	G	9.973503	-26.92667	11.2		
NGC6215	G	16.851892	-58.99347	11.2		
NGC6907	G	20.418508	-24.80917	11.2		
NGC1255	G	3.225567	-25.72517	11.2		
NGC2366	G	7.481850	69.21578	11.2		
NGC3423	G	10.853981	5.84003	11.2		
NGC4027	G	11.991714	-19.26522	11.2		
NGC6015	G	15.857008	62.31003	11.2		
IC3370	G	12.460369	-39.33778	11.2		
NGC0289	G	0.878433	-31.20583	11.2		
NGC1831	GCl	5.104644	-64.91750	11.2		
NGC2325	G	7.044556	-28.69722	11.2		
NGC7713	G	23.604164	-37.93808	11.2		
ESO274-001	G	15.237178	-46.80794	11.2		
IC4765	G	18.788314	-63.33133	11.2		
NGC1411	G	3.645797	-44.10061	11.2		IC 1943
NGC2196	G	6.202681	-21.80594	11.2		
NGC2935	G	9.612458	-21.12814	11.2		
NGC5530	G	14.307542	-43.38858	11.2		
NGC7377	G	22.796528	-22.31211	11.2		
NGC7410	G	22.916931	-39.66133	11.2		
IC0239	G	2.607744	38.96992	11.2		
IC0443	SNR	6.277058	22.53167	11.2	Gem A	
IC1266	PN	17.759806	-46.08986	11.2		
IC2621	PN	11.005553	-65.24936	11.2		
NGC1877	Neb	5.227456	-69.38378	11.2		
NGC2371	PN	7.426294	29.49064	11.2		NGC 2372
NGC2635	OCl	8.640553	-34.77158	11.2		
NGC3646	G	11.361967	20.16956	11.2		
NGC4742	G	12.863344	-10.45472	11.2		
NGC5307	PN	13.850917	-51.20578	11.2		
NGC5701	G	14.653078	5.36347	11.2		
NGC6445	PN	17.820850	-20.00950	11.2	Little Gem	
NGC1615	G	4.600289	19.95033	11.2		
NGC0779	G	1.995078	-5.96319	11.2		
NGC0988	G	2.591042	-9.35619	11.2		
NGC5638	G	14.494550	3.23331	11.2		
NGC7723	G	23.649189	-12.96108	11.2		
ESO208-021	G	7.565625	-50.44303	11.2		
IC4889	G	19.754208	-54.34414	11.2		IC 4891
NGC1042	G	2.673325	-8.43356	11.2		
NGC4145	G	12.167089	39.88386	11.2		
NGC4417	G	12.447392	9.58425	11.2		
NGC5676	G	14.546347	49.45789	11.2		
NGC7314	G	22.596164	-26.05047	11.2		
IC2051	G	3.866897	-83.83069	11.2		
NGC3717	G	11.525553	-30.30775	11.2		
NGC4217	G	12.264139	47.09178	11.2		
NGC5170	G	13.496886	-17.96642	11.2		
NGC5812	G	15.015472	-7.45736	11.2		
NGC2133	OCl	5.857978	-71.17503	11.2		
ESO185-054	G	20.057508	-55.94717	11.2		
NGC0121	GCl	0.446736	-71.53567	11.2		
NGC1923	Cl+N	5.359461	-65.48672	11.2		
NGC2065	OCl	5.627339	-70.23647	11.2		
NGC3892	G	11.800275	-10.96206	11.2		
NGC7083	G	21.595747	-63.90283	11.2		
NGC1058	G	2.725000	37.34133	11.2		
NGC2787	G	9.321833	69.20325	11.2		
NGC7531	G	23.246806	-43.59994	11.2		
NGC0741	G	1.939175	5.62894	11.3		IC 1751
NGC1743	Neb	4.900742	-69.19861	11.3		
NGC1870	GCl	5.219417	-69.11694	11.3		
NGC3175	G	10.245031	-28.87206	11.3		
NGC4564	G	12.607494	11.43928	11.3		
NGC4902	G	13.016592	-14.51364	11.3		
NGC5792	G	14.972975	-1.09108	11.3		
IC2115	*	4.952422	-66.39019	11.3		
NGC3432	G	10.875314	36.61878	11.3		
NGC3507	G	11.057044	18.13544	11.3		
NGC4660	G	12.742217	11.19053	11.3		
NGC4941	G	13.070317	-5.55161	11.3		
NGC5377	G	13.937964	47.23569	11.3		
NGC5903	G	15.310147	-24.06858	11.3		
NGC7741	G	23.731769	26.07561	11.3		
IC5325	G	23.478731	-41.33347	11.3		
NGC5090	G	13.353561	-43.70456	11.3		
NGC7192	G	22.113933	-64.31625	11.3		
IC1029	G	14.540906	49.90461	11.3		
NGC0660	G	1.717333	13.64506	11.3		
NGC2203	GCl	6.078486	-75.43842	11.3		
NGC4157	G	12.184547	50.48467	11.3		
NGC4378	G	12.421694	4.92514	11.3		
NGC4380	G	12.422825	10.01681	11.3		
NGC4571	G	12.615661	14.21736	11.3		IC 3588
NGC6558	GCl	18.171772	-31.76347	11.3		
NGC0242	OCl	0.726050	-73.44631	11.3		
NGC1987	GCl	5.454764	-70.73736	11.3		
NGC4612	G	12.692431	7.31489	11.3		
IC2105	Cl+N	4.824072	-69.20092	11.3		
IC5217	PN	22.398806	50.96667	11.3		
NGC1511	G	3.993606	-67.63425	11.3		
NGC2003	GCl	5.515333	-66.46656	11.3		
NGC3059	G	9.835600	-73.92219	11.3		
NGC3699	PN	11.465875	-59.95806	11.3		
NGC3706	G	11.495675	-36.39131	11.3		
NGC4106	G	12.112444	-29.76831	11.3		
NGC6629	PN	18.428461	-23.20289	11.3		
NGC7013	G	21.059328	29.89747	11.3		
NGC7041	G	21.275661	-48.36356	11.3		
IC3896	G	12.945342	-50.34686	11.3		
NGC1846	GCl	5.126094	-67.46147	11.3		
NGC2096	OCl	5.704944	-68.45861	11.3		
NGC4013	G	11.975383	43.94658	11.3		
NGC4281	G	12.339311	5.38639	11.3		
IC4797	G	18.941578	-54.30578	11.3		
NGC3311	G	10.611894	-27.52833	11.3		
NGC4567	G	12.609086	11.25800	11.3	Butterfly Galaxies	
NGC5204	G	13.493475	58.41872	11.3		
NGC5308	G	13.783453	60.97317	11.3		
NGC5365	G	13.964067	-43.93131	11.3		
NGC5713	G	14.669864	-0.28897	11.3		NGC 5651
NGC6814	G	19.711289	-10.32350	11.3		
NGC0972	G	2.570383	29.31128	11.3		
NGC2559	G	8.285019	-27.45583	11.3		
NGC3780	G	11.656211	56.27067	11.3		
NGC3998	G	11.965592	55.45358	11.3		
NGC4064	G	12.069767	18.44342	11.3		
NGC4220	G	12.269919	47.88325	11.3		
NGC5268	*	13.703497	-13.85956	11.3		
NGC6482	G	17.863558	23.07194	11.3		
NGC7412	G	22.929375	-42.64203	11.3		
IC2006	G	3.907903	-35.96714	11.3		
IC5052	G	20.868214	-69.20164	11.3		
NGC2434	G	7.580878	-69.28414	11.3		
NGC3672	G	11.417353	-9.79539	11.3		
NGC4346	G	12.391094	46.99383	11.3		
NGC4772	G	12.891433	2.16839	11.3		
NGC4802	G	12.930456	-12.05531	11.3		NGC 4804
NGC4818	G	12.946917	-8.52531	11.3		
NGC1022	G	2.642419	-6.67742	11.3		
NGC1546	G	4.243483	-56.06081	11.3		
NGC2685	G	8.926308	58.73439	11.3	Helix Galaxy	
NGC4298	G	12.359100	14.60617	11.3		
NGC6925	G	20.572381	-31.98089	11.3		IC 5015
NGC7599	G	23.322539	-42.25683	11.3		IC 5308
NGC4900	G	13.010864	2.50144	11.4		
IC5201	G	22.349289	-46.03586	11.4		
IC5328	G	23.554572	-45.01597	11.4		
NGC2964	G	9.715064	31.84739	11.4		
NGC3100	G	10.011344	-31.66453	11.4		NGC 3103
NGC3319	G	10.652628	41.68667	11.4		
NGC3583	G	11.236358	48.31853	11.4		
NGC4051	G	12.052669	44.53133	11.4		
ESO265-007	G	11.130436	-46.52431	11.4		
IC4863	**	19.464358	-36.21689	11.4		
NGC1209	G	3.100839	-15.61125	11.4		
NGC2156	GCl	5.963800	-68.46081	11.4		
NGC2159	GCl	5.967744	-68.62292	11.4		
NGC5011	G	13.214406	-43.09622	11.4		
NGC5354	G	13.890750	40.30275	11.4		
NGC5898	G	15.303767	-24.09794	11.4		
NGC6703	G	18.788564	45.55064	11.4		
IC1633	G	1.165439	-45.93119	11.4		
NGC1439	G	3.747208	-21.92056	11.4		
NGC4123	G	12.136419	2.87828	11.4		
NGC4781	G	12.906597	-10.53719	11.4		
NGC6758	G	19.231206	-56.30994	11.4		
NGC6943	G	20.742706	-68.74772	11.4		
NGC6326	PN	17.346211	-51.75439	11.4		
NGC7462	G	23.046247	-40.83525	11.4		
IC2003	PN	3.939453	33.87486	11.4		
IC4214	G	13.295192	-32.10169	11.4		
NGC2822	G	9.230478	-69.64483	11.4		
NGC3239	G	10.418025	17.16358	11.4		
NGC4578	G	12.625156	9.55508	11.4		
NGC5845	G	15.100225	1.63381	11.4		
NGC6369	PN	17.489028	-23.75944	11.4	Little Ghost Nebula	
NGC6781	PN	19.307850	6.53972	11.4		
NGC6803	PN	19.521236	10.05603	11.4		
NGC6886	PN	20.211917	19.98972	11.4		
NGC6958	G	20.811831	-37.99742	11.4		
NGC0150	G	0.570967	-27.80358	11.4		
NGC0636	G	1.651814	-7.51261	11.4		
NGC1169	G	3.059653	46.38636	11.4		
NGC1453	G	3.774236	-3.96878	11.4		
NGC3258	G	10.481547	-35.60553	11.4		
NGC3261	G	10.483739	-44.65683	11.4		
NGC3268	G	10.500183	-35.32547	11.4		
NGC3301	G	10.615567	21.88214	11.4		NGC 3760
NGC4339	G	12.393042	6.08175	11.4		
NGC4981	G	13.146872	-6.77753	11.4		
ESO138-010	G	16.984153	-60.21603	11.4		
NGC4245	G	12.293547	29.60800	11.4		
NGC4291	G	12.338389	75.37083	11.4		
NGC4421	G	12.450706	15.46147	11.4		
NGC4731	G	12.850303	-6.39306	11.4		
NGC5493	G	14.191494	-5.04361	11.4		
NGC6810	G	19.726181	-58.65558	11.4		
NGC1199	G	3.060669	-15.61319	11.4		
NGC1841	GCl	4.756486	-83.99906	11.4		
NGC3087	G	9.985739	-34.22522	11.4		
NGC3686	G	11.462214	17.22419	11.4		
NGC4178	G	12.212903	10.86597	11.4		IC 3042
NGC4593	G	12.660953	-5.34425	11.4		
NGC4930	G	13.068131	-41.41158	11.4		
NGC5678	G	14.534892	57.92144	11.4		
NGC5775	G	14.899333	3.54444	11.4		
IC3318	*	12.430514	9.76281	11.4		
NGC1079	G	2.728983	-29.00336	11.4		
NGC1357	G	3.554744	-13.66414	11.4		
NGC1493	G	3.957619	-46.21069	11.4		
NGC2102	OCl	5.705692	-69.48708	11.4		
NGC3900	G	11.819294	27.02203	11.4		
NGC4478	G	12.504839	12.32856	11.4		
IC5273	G	22.990750	-37.70289	11.4		
NGC2811	G	9.269753	-16.31272	11.4		
NGC3738	G	11.596886	54.52389	11.4		
NGC4168	G	12.204797	13.20519	11.4		
NGC4487	G	12.517906	-8.05392	11.4		
NGC4889	G	13.002258	27.97700	11.4		NGC 4884
NGC7552	G	23.269656	-42.58475	11.4		IC 5294
NGC0777	G	2.004139	31.42958	11.5		
NGC1351	G	3.509717	-34.85394	11.5		
NGC1353	G	3.534172	-20.81917	11.5		
NGC4262	G	12.325158	14.87767	11.5		
NGC5831	G	15.068611	1.21992	11.5		
NGC0428	G	1.215475	0.98156	11.5		
NGC0520 NED01	G	1.409578	3.79494	11.5		
NGC0533	G	1.425378	1.75911	11.5		
NGC1381	G	3.608800	-35.29519	11.5		
NGC1426	G	3.713642	-22.10836	11.5		
NGC1962	OCl	5.438258	-68.83764	11.5		
NGC2040	Neb	5.601647	-67.56856	11.5		
NGC2075	Cl+N	5.639264	-70.68503	11.5		
NGC2525	G	8.093900	-11.42703	11.5		
NGC3108	G	10.041397	-31.67742	11.5		
