constellation	ra1_hours	dec1_deg	ra2_hours	dec2_deg
Psc	23.988527	6.86330	23.665847	5.62630
Psc	23.665847	5.62630	23.466140	6.37900
Psc	23.466140	6.37900	23.339053	5.38130
Psc	23.339053	5.38130	23.286093	3.28230
Psc	23.286093	3.28230	23.448873	1.25560
Psc	23.448873	1.25560	23.700780	1.78000
Psc	23.700780	1.78000	23.773200	3.48680
Psc	23.773200	3.48680	23.665847	5.62630
Psc	23.286093	3.28230	23.064613	3.82000
PsA	22.677593	-27.04360	22.960847	-29.62220
PsA	22.960847	-29.62220	22.932473	-32.53960
PsA	22.932473	-32.53960	22.875427	-32.87550
PsA	22.875427	-32.87550	22.525093	-32.34610
PsA	22.525093	-32.34610	22.139727	-32.98850
PsA	22.139727	-32.98850	21.749113	-33.02580
PsA	21.749113	-33.02580	21.795600	-30.89830
PsA	21.795600	-30.89830	22.139727	-32.98850
PsA	22.139727	-32.98850	22.677593	-27.04360
Pup	6.629353	-43.19590	7.285713	-37.09750
Pup	7.285713	-37.09750	7.589693	-28.36930
Pup	7.589693	-28.36930	7.647187	-26.80380
Pup	7.647187	-26.80380	7.821573	-24.85980
Pup	7.821573	-24.85980	7.947647	-22.88010
Pup	7.947647	-22.88010	8.125733	-24.30430
Pup	8.125733	-24.30430	8.059733	-40.00310
Pup	8.059733	-40.00310	8.158873	-47.33660
Pup	7.821573	-24.85980	7.801433	-25.93720
Pup	7.801433	-25.93720	7.730133	-28.95480
Pup	7.730133	-28.95480	7.589693	-28.36930
Pyx	8.059733	-40.00310	8.668373	-35.30840
Pyx	8.668373	-35.30840	8.726540	-33.18640
Pyx	8.726540	-33.18640	8.842200	-27.70980
Ret	4.240413	-62.47390	4.274733	-59.30220
Ret	4.274733	-59.30220	3.979100	-61.40020
Ret	3.979100	-61.40020	3.736660	-64.80690
Ret	3.736660	-64.80690	4.240413	-62.47390
Sge	19.668273	18.01390	19.789793	18.53430
Sge	19.789793	18.53430	19.979287	19.49210
Sge	19.684147	17.47600	19.789793	18.53430
Sgr	18.293787	-36.76170	18.402867	-34.38460
Sgr	18.402867	-34.38460	18.349900	-29.82810
Sgr	18.349900	-29.82810	18.466180	-25.42170
Sgr	18.466180	-25.42170	18.229393	-21.05880
Sgr	19.377307	-44.45900	19.398107	-40.61590
Sgr	19.398107	-40.61590	19.043533	-29.88010
Sgr	19.043533	-29.88010	18.760940	-26.99080
Sgr	18.760940	-26.99080	18.466180	-25.42170
Sgr	19.921027	-41.86830	19.995607	-35.27630
Sgr	19.995607	-35.27630	19.930653	-26.29950
Sgr	19.930653	-26.29950	19.611787	-24.88360
Sgr	19.611787	-24.88360	19.421247	-24.50860
Sgr	19.421247	-24.50860	19.259007	-25.25670
Sgr	19.259007	-25.25670	18.921093	-26.29670
Sgr	18.921093	-26.29670	18.760940	-26.99080
Sgr	18.760940	-26.99080	18.349900	-29.82810
Sgr	18.349900	-29.82810	18.096800	-30.42410
Sgr	18.096800	-30.42410	18.402867	-34.38460
Sgr	18.402867	-34.38460	19.043533	-29.88010
Sgr	19.043533	-29.88010	19.115667	-27.67040
Sgr	19.115667	-27.67040	18.921093	-26.29670
Sgr	18.921093	-26.29670	19.078053	-21.74150
Sgr	19.078053	-21.74150	19.162733	-21.02360
Sgr	19.162733	-21.02360	19.293913	-18.95290
Sgr	19.293913	-18.95290	19.361213	-17.84720
Sgr	19.361213	-17.84720	19.362120	-15.95500
Sgr	19.078053	-21.74150	18.962167	-21.10670
Sgr	18.962167	-21.10670	18.902827	-22.74480
Sgr	18.902827	-22.74480	18.921093	-26.29670
Sco	15.980867	-26.11410	16.005560	-22.62170
Sco	16.005560	-22.62170	16.090620	-19.80550
Sco	16.005560	-22.62170	16.353147	-25.59280
Sco	16.353147	-25.59280	16.490127	-26.43200
Sco	16.490127	-26.43200	16.598040	-28.21600
Sco	16.598040	-28.21600	16.836060	-34.29320
Sco	16.836060	-34.29320	16.864507	-38.04740
Sco	16.864507	-38.04740	16.909727	-42.36130
Sco	16.909727	-42.36130	17.202553	-43.23920
Sco	17.202553	-43.23920	17.621980	-42.99780
Sco	17.621980	-42.99780	17.793080	-40.12700
Sco	17.793080	-40.12700	17.708133	-39.03000
Sco	17.708133	-39.03000	17.560147	-37.10380
Scl	0.976767	-29.35740	23.815427	-28.13030
Scl	23.815427	-28.13030	23.313733	-32.53200
Scl	23.313733	-32.53200	23.549513	-37.81830
Sct	18.586787	-8.24410	18.786240	-4.74790
Sct	18.786240	-4.74790	18.704560	-9.05250
Sct	18.704560	-9.05250	18.486627	-14.56580
Sct	18.486627	-14.56580	18.586787	-8.24410
Ser	15.769793	15.42180	15.692513	19.67040
Ser	15.692513	19.67040	15.812327	18.14160
Ser	15.812327	18.14160	15.940887	15.66160
Ser	15.940887	15.66160	15.769793	15.42180
Ser	15.769793	15.42180	15.580040	10.53890
Ser	15.580040	10.53890	15.737800	6.42560
Ser	15.737800	6.42560	15.846933	4.47770
Ser	15.846933	4.47770	16.239093	-3.69430
Ser	17.172967	-15.72490	17.626447	-15.39860
Ser	17.626447	-15.39860	17.983773	-9.77360
Ser	17.983773	-9.77360	18.051367	-8.18030
Ser	18.051367	-8.18030	18.355167	-2.89880
Ser	18.355167	-2.89880	18.936993	4.20360
Sex	10.132300	-0.37160	9.875120	-8.10500
Sex	9.875120	-8.10500	10.491307	-2.73910
Sex	10.491307	-2.73910	10.504853	-0.63700
Tau	5.627413	21.14250	4.598680	16.50930
Tau	4.598680	16.50930	4.477707	15.87090
Tau	4.477707	15.87090	4.329887	15.62760
Tau	4.329887	15.62760	4.382247	17.54250
Tau	4.382247	17.54250	4.476947	19.18040
Tau	4.476947	19.18040	5.438200	28.60750
Tau	4.329887	15.62760	4.011340	12.49030
Tau	4.011340	12.49030	3.452820	9.73270
Tau	3.452820	9.73270	4.052607	5.98930
Tau	3.452820	9.73270	3.413553	9.02890
Tau	3.413553	9.02890	3.614553	0.40170
Tel	18.187153	-45.95440	18.449560	-45.96850
Tel	18.449560	-45.96850	18.480513	-49.07060
Tri	1.884693	29.57880	2.159060	34.98730
Tri	2.159060	34.98730	2.288573	33.84720
Tri	2.288573	33.84720	1.884693	29.57880
TrA	16.811080	-69.02770	15.919047	-63.43070
TrA	15.919047	-63.43070	15.315160	-68.67950
TrA	15.315160	-68.67950	16.811080	-69.02770
Tuc	22.308360	-60.25960	23.290493	-58.23570
Tuc	23.290493	-58.23570	0.525740	-62.95820
Tuc	0.525740	-62.95820	0.334520	-64.87480
Tuc	0.334520	-64.87480	23.998607	-65.57710
Tuc	23.998607	-65.57710	22.455547	-64.96640
Tuc	22.455547	-64.96640	22.308360	-60.25960
UMa	12.257100	57.03260	11.062133	61.75100
UMa	11.062133	61.75100	11.030687	56.38240
UMa	11.030687	56.38240	11.897180	53.69480
UMa	11.897180	53.69480	12.257100	57.03260
UMa	12.257100	57.03260	12.900487	55.95980
UMa	12.900487	55.95980	13.398760	54.92540
UMa	13.398760	54.92540	13.792347	49.31330
UMa	11.897180	53.69480	11.767507	47.77940
UMa	11.767507	47.77940	11.307980	33.09430
UMa	11.307980	33.09430	11.303120	31.53080
UMa	11.767507	47.77940	11.161060	44.49850
UMa	11.161060	44.49850	10.372153	41.49950
UMa	11.161060	44.49850	10.284940	42.91440
UMa	11.062133	61.75100	9.525473	63.06190
UMa	9.525473	63.06190	8.504407	60.71820
UMa	8.504407	60.71820	9.849820	59.03870
UMa	9.849820	59.03870	11.030687	56.38240
UMa	11.030687	56.38240	9.868433	54.06430
UMa	9.868433	54.06430	9.547620	51.67730
UMa	9.547620	51.67730	8.986793	48.04180
UMa	9.060427	47.15650	9.547620	51.67730
UMi	15.734313	77.79450	16.291747	75.75530
UMi	16.291747	75.75530	15.345473	71.83400
UMi	15.345473	71.83400	14.845093	74.15550
UMi	14.845093	74.15550	15.734313	77.79450
UMi	15.734313	77.79450	16.766180	82.03730
UMi	16.766180	82.03730	17.536947	86.58650
UMi	17.536947	86.58650	2.530300	89.26410
Vel	8.745060	-54.70880	9.368560	-55.01070
Vel	9.368560	-55.01070	9.947707	-54.56780
Vel	9.947707	-54.56780	10.779493	-49.42030
Vel	10.779493	-49.42030	10.245600	-42.12190
Vel	10.245600	-42.12190	9.511667	-40.46680
Vel	9.511667	-40.46680	9.133267	-43.43260
Vel	9.133267	-43.43260	8.158873	-47.33660
Vir	11.764320	6.52940	11.844920	1.76470
Vir	11.844920	1.76470	12.331767	-0.66680
Vir	12.331767	-0.66680	12.694347	-1.44940
Vir	12.694347	-1.44940	13.165833	-5.53900
Vir	13.165833	-5.53900	13.419880	-11.16130
Vir	13.419880	-11.16130	14.266907	-6.00050
Vir	14.266907	-6.00050	14.717673	-5.65820
Vir	13.036280	10.95920	12.926727	3.39750
Vir	12.926727	3.39750	12.694347	-1.44940
Vir	13.165833	-5.53900	13.578220	-0.59580
Vir	13.578220	-0.59580	14.027440	1.54450
Vir	14.027440	1.54450	14.770813	1.89290
Vol	9.040773	-66.39610	8.428940	-66.13690
Vol	8.428940	-66.13690	8.132167	-68.61710
Vol	8.132167	-68.61710	7.280507	-67.95720
Vol	7.280507	-67.95720	7.145793	-70.49890
Vol	7.145793	-70.49890	8.132167	-68.61710
Vol	8.132167	-68.61710	9.040773	-66.39610
Vul	19.270287	21.39040	19.478427	24.66490
Vul	19.478427	24.66490	19.891027	24.07960
Vul	19.891027	24.07960	20.018347	27.75360
Vul	20.018347	27.75360	20.262813	27.81420
