constellation	ra1_hours	dec1_deg	ra2_hours	dec2_deg
Cap	21.370780	-16.83450	21.099120	-17.23290
Cap	21.099120	-17.23290	20.294133	-12.50820
Car	6.629353	-43.19590	6.399200	-52.69570
Car	6.399200	-52.69570	9.219993	-69.71720
Car	9.219993	-69.71720	10.228947	-70.03790
Car	10.228947	-70.03790	10.715947	-64.39450
Car	10.715947	-64.39450	10.533740	-61.68530
Car	10.533740	-61.68530	10.284713	-61.33230
Car	10.284713	-61.33230	9.284833	-59.27520
Car	9.284833	-59.27520	8.375233	-59.50950
Car	8.375233	-59.50950	7.946307	-52.98240
Car	7.946307	-52.98240	8.158873	-47.33660
Car	8.158873	-47.33660	8.745060	-54.70880
Car	8.745060	-54.70880	9.284833	-59.27520
Car	10.715947	-64.39450	11.109007	-62.42410
Car	11.109007	-62.42410	11.142780	-61.94720
Car	11.142780	-61.94720	11.210007	-60.31760
Car	11.210007	-60.31760	11.143167	-58.97500
Car	11.143167	-58.97500	10.891573	-58.85320
Car	10.891573	-58.85320	10.533740	-61.68530
Cas	1.906593	63.67010	1.430267	60.23530
Cas	1.430267	60.23530	0.945147	60.71670
Cas	0.945147	60.71670	0.675120	56.53730
Cas	0.675120	56.53730	0.152967	59.14980
Cen	11.350113	-54.49100	12.139307	-50.72240
Cen	12.139307	-50.72240	12.467327	-50.23060
Cen	12.467327	-50.23060	12.691953	-48.95990
Cen	12.691953	-48.95990	13.664793	-53.46640
Cen	13.664793	-53.46640	13.925660	-47.28840
Cen	13.925660	-47.28840	13.826940	-42.47370
Cen	13.826940	-42.47370	13.825080	-41.68770
Cen	13.825080	-41.68770	14.111373	-36.37000
Cen	14.111373	-36.37000	14.591787	-42.15780
Cen	14.591787	-42.15780	14.986027	-42.10420
Cen	13.825080	-41.68770	13.343280	-36.71230
Cen	14.659747	-60.83720	13.664793	-53.46640
Cen	13.664793	-53.46640	14.063727	-60.37300
Cen	12.467327	-50.23060	12.194200	-52.36850
Cen	12.194200	-52.36850	11.529467	-59.44210
Cep	20.493027	62.99410	20.754827	61.83880
Cep	20.754827	61.83880	21.309660	62.58560
Cep	21.309660	62.58560	21.725127	58.78000
Cep	21.725127	58.78000	22.250607	57.04360
Cep	22.250607	57.04360	22.180913	58.20130
Cep	22.180913	58.20130	22.486187	58.41520
Cep	22.486187	58.41520	22.828007	66.20040
Cep	22.828007	66.20040	23.655793	77.63230
Cep	23.655793	77.63230	21.477667	70.56070
Cep	21.477667	70.56070	21.309660	62.58560
Cep	21.477667	70.56070	22.828007	66.20040
Cet	2.721680	3.23580	2.597907	5.59320
Cet	2.597907	5.59320	2.469320	8.46010
Cet	2.469320	8.46010	2.749040	10.11410
Cet	2.749040	10.11410	2.995253	8.90740
Cet	2.995253	8.90740	3.037993	4.08970
Cet	3.037993	4.08970	2.721680	3.23580
Cet	2.721680	3.23580	2.658047	0.32850
Cet	2.658047	0.32850	2.322440	-2.97760
Cet	2.322440	-2.97760	1.857673	-10.33500
Cet	1.857673	-10.33500	1.734467	-15.93750
Cet	1.734467	-15.93750	0.726493	-17.98660
Cet	0.726493	-17.98660	0.323800	-8.82390
Cet	0.323800	-8.82390	1.143167	-10.18230
Cet	1.143167	-10.18230	1.400393	-8.18330
Cet	1.400393	-8.18330	1.857673	-10.33500
Cha	8.308767	-76.91970	10.591140	-78.60780
Cha	10.591140	-78.60780	10.754533	-80.46960
Cha	10.754533	-80.46960	12.305787	-79.31220
Cha	12.305787	-79.31220	11.993773	-78.22180
Cha	11.993773	-78.22180	10.591140	-78.60780
Cir	15.291900	-58.80120	14.708447	-64.97510
Cir	14.708447	-64.97510	15.389627	-59.32080
Col	6.368567	-33.43640	5.849333	-35.76830
Col	5.849333	-35.76830	5.660813	-34.07410
Col	5.660813	-34.07410	5.520207	-35.47050
Col	5.849333	-35.76830	5.985780	-42.81510
Com	13.166467	17.52940	13.197887	27.87820
Com	13.197887	27.87820	12.448967	28.26840
CrA	18.978713	-37.10740	19.106973	-37.06340
CrA	19.106973	-37.06340	19.157873	-37.90450
CrA	19.157873	-37.90450	19.167153	-39.34080
CrA	19.167153	-39.34080	19.139160	-40.49670
CrA	19.139160	-40.49670	19.051913	-42.09510
CrA	19.051913	-42.09510	18.826387	-43.43410
CrA	18.826387	-43.43410	18.558387	-42.31250
CrB	15.548827	31.35910	15.463813	29.10570
CrB	15.463813	29.10570	15.578133	26.71470
CrB	15.578133	26.71470	15.712380	26.29560
CrB	15.712380	26.29560	15.826567	26.06840
CrB	15.826567	26.06840	15.959793	26.87790
CrB	15.959793	26.87790	16.024047	29.85110
Crv	12.140227	-24.72890	12.168747	-22.61980
Crv	12.168747	-22.61980	12.263433	-17.54190
Crv	12.263433	-17.54190	12.497740	-16.51540
Crv	12.497740	-16.51540	12.573120	-23.39680
Crv	12.573120	-23.39680	12.168747	-22.61980
Crt	11.611367	-9.80220	11.410167	-10.85930
Crt	11.410167	-10.85930	11.322347	-14.77850
Crt	11.322347	-14.77850	10.996240	-18.29880
Crt	10.996240	-18.29880	11.194300	-22.82580
Crt	11.194300	-22.82580	11.389413	-18.78000
Crt	11.389413	-18.78000	11.414700	-17.68400
Crt	11.414700	-17.68400	11.746047	-18.35070
Crt	11.746047	-18.35070	11.933600	-17.15080
Crt	11.322347	-14.77850	11.414700	-17.68400
Cru	12.795353	-59.68880	12.252420	-58.74890
Cru	12.443307	-63.09910	12.519433	-57.11320
Cyg	21.215607	30.22690	20.770187	33.97030
Cyg	20.770187	33.97030	20.370473	40.25670
Cyg	20.370473	40.25670	19.749580	45.13080
Cyg	19.749580	45.13080	19.495100	51.72980
Cyg	19.495100	51.72980	19.285047	53.36850
Cyg	20.690533	45.28030	20.370473	40.25670
Cyg	20.370473	40.25670	19.938433	35.08340
Cyg	19.938433	35.08340	19.512020	27.95970
Del	20.553547	11.30330	20.625820	14.59510
Del	20.625820	14.59510	20.660633	15.91210
Del	20.660633	15.91210	20.777460	16.12410
Del	20.777460	16.12410	20.724313	15.07460
Del	20.724313	15.07460	20.625820	14.59510
Dor	4.267107	-51.48660	4.566607	-55.04500
Dor	4.566607	-55.04500	5.560420	-62.48980
Dor	5.560420	-62.48980	5.746213	-65.73550
Dor	5.746213	-65.73550	5.901680	-63.08960
Dor	5.901680	-63.08960	5.560420	-62.48980
Dor	5.560420	-62.48980	5.091847	-57.47270
Dor	5.091847	-57.47270	4.566607	-55.04500
Dra	17.892147	56.87260	17.943433	51.48890
Dra	17.943433	51.48890	17.507213	52.30140
Dra	17.507213	52.30140	17.537787	55.17300
Dra	17.537787	55.17300	17.892147	56.87260
Dra	17.892147	56.87260	19.209253	67.66150
Dra	19.209253	67.66150	18.345953	71.33780
Dra	18.345953	71.33780	17.146440	65.71470
Dra	17.146440	65.71470	16.399860	61.51420
Dra	16.399860	61.51420	16.031487	58.56530
Dra	16.031487	58.56530	15.415493	58.96610
Dra	15.415493	58.96610	14.073153	64.37590
Dra	14.073153	64.37590	12.558040	69.78820
Dra	12.558040	69.78820	11.523393	69.33110
Dra	18.345953	71.33780	18.350940	72.73280
Dra	19.209253	67.66150	19.802873	70.26790
Equ	21.263733	5.24780	21.241340	10.00700
Equ	21.241340	10.00700	21.172360	10.13160
Eri	5.130827	-5.08640	4.758373	-3.25470
Eri	4.758373	-3.25470	4.605320	-3.35250
Eri	4.605320	-3.35250	4.197760	-6.83760
Eri	4.197760	-6.83760	3.967160	-13.50850
Eri	3.967160	-13.50850	3.769040	-12.10160
Eri	3.769040	-12.10160	3.720807	-9.76340
Eri	3.720807	-9.76340	3.548847	-9.45830
Eri	3.548847	-9.45830	2.940460	-8.89810
Eri	2.940460	-8.89810	2.735373	-13.85870
Eri	2.735373	-13.85870	2.751720	-18.57260
Eri	2.751720	-18.57260	3.039860	-23.62450
Eri	3.039860	-23.62450	3.325280	-21.75790
Eri	3.325280	-21.75790	3.563133	-21.63290
Eri	3.563133	-21.63290	3.780800	-23.24970
Eri	3.780800	-23.24970	4.592513	-30.56230
Eri	4.592513	-30.56230	4.400613	-34.01680
Eri	4.400613	-34.01680	4.298240	-33.79830
Eri	4.298240	-33.79830	3.824233	-36.20030
Eri	3.824233	-36.20030	3.618247	-40.27450
Eri	3.618247	-40.27450	3.332127	-43.06980
Eri	3.332127	-43.06980	2.971020	-40.30470
Eri	2.971020	-40.30470	2.677787	-39.85540
Eri	2.677787	-39.85540	2.449753	-47.70380
Eri	2.449753	-47.70380	2.275160	-51.51220
Eri	2.275160	-51.51220	1.932633	-51.60890
Eri	1.932633	-51.60890	1.628567	-57.23680
For	3.201260	-28.98760	2.818173	-32.40590
For	2.818173	-32.40590	2.074847	-29.29680
Gem	6.247960	22.50680	6.382673	22.51360
Gem	6.382673	22.51360	6.732200	25.13110
